loss,mae,val_loss,val_mae,learning_rate
0.3491879403591156,0.38849401473999023,0.5534675717353821,0.4909258484840393,0.0003000000142492354
0.18882693350315094,0.26667720079421997,0.5439795255661011,0.48422035574913025,0.0003000000142492354
0.1597619652748108,0.24037471413612366,0.5090306401252747,0.46723613142967224,0.0003000000142492354
0.14377929270267487,0.22589005529880524,0.47696805000305176,0.4465612769126892,0.0003000000142492354
0.13260751962661743,0.21583248674869537,0.5148748755455017,0.47398999333381653,0.0003000000142492354
0.12331889569759369,0.20683732628822327,0.4687010645866394,0.43522754311561584,0.0003000000142492354
0.11643458902835846,0.2016160488128662,0.48405328392982483,0.44152164459228516,0.0003000000142492354
0.11110950261354446,0.19688862562179565,0.4490533173084259,0.42410802841186523,0.0003000000142492354
0.1052161231637001,0.19136741757392883,0.4706043303012848,0.43018054962158203,0.0003000000142492354
0.10123665630817413,0.18839038908481598,0.4437013268470764,0.4149616062641144,0.0003000000142492354
0.09761781990528107,0.184171661734581,0.42592376470565796,0.40466561913490295,0.0003000000142492354
0.09428315609693527,0.18128269910812378,0.4369620978832245,0.41756463050842285,0.0003000000142492354
0.09132656455039978,0.1781160980463028,0.43487682938575745,0.40828871726989746,0.0003000000142492354
0.08765799552202225,0.174976646900177,0.41774025559425354,0.4042379558086395,0.0003000000142492354
0.08543695509433746,0.17243163287639618,0.42285117506980896,0.40427467226982117,0.0003000000142492354
0.08265049755573273,0.17022204399108887,0.41050291061401367,0.3915410339832306,0.0003000000142492354
0.08073368668556213,0.1688546985387802,0.4197792708873749,0.40482285618782043,0.0003000000142492354
0.07878612726926804,0.16644738614559174,0.41081923246383667,0.3978797495365143,0.0003000000142492354
0.07638832181692123,0.16362914443016052,0.4170253574848175,0.39062222838401794,0.0003000000142492354
0.07405814528465271,0.16190674901008606,0.4018355906009674,0.39100131392478943,0.0003000000142492354
0.07263069599866867,0.16065001487731934,0.3938567638397217,0.38109341263771057,0.0003000000142492354
0.07169628143310547,0.15921281278133392,0.38081684708595276,0.3845026195049286,0.0003000000142492354
0.07058863341808319,0.15744152665138245,0.4099874198436737,0.3977653980255127,0.0003000000142492354
0.0695032998919487,0.1563543826341629,0.39708465337753296,0.38425374031066895,0.0003000000142492354
0.066405288875103,0.15334835648536682,0.39537444710731506,0.38607144355773926,0.0003000000142492354
0.06618199497461319,0.15283222496509552,0.38095471262931824,0.3776094317436218,0.0003000000142492354
0.06099345535039902,0.14749249815940857,0.394955575466156,0.3822252154350281,0.0001500000071246177
0.06023065373301506,0.14668045938014984,0.4048923850059509,0.3881048560142517,0.0001500000071246177
0.05915594846010208,0.14603208005428314,0.3893839716911316,0.382801353931427,0.0001500000071246177
0.0586768239736557,0.1451610028743744,0.39986610412597656,0.38417848944664,0.0001500000071246177
