loss,mae,val_loss,val_mae,learning_rate
0.3223555386066437,0.36313754320144653,0.47620347142219543,0.4580652713775635,0.0003000000142492354
0.12026946991682053,0.20928692817687988,0.36020627617836,0.3941391110420227,0.0003000000142492354
0.08996168524026871,0.17752408981323242,0.3012441098690033,0.3586432933807373,0.0003000000142492354
0.07501660287380219,0.1607491672039032,0.2699095904827118,0.33803591132164,0.0003000000142492354
0.06660077720880508,0.15063419938087463,0.253816694021225,0.3247370421886444,0.0003000000142492354
0.060340430587530136,0.14262346923351288,0.2343532294034958,0.3117818534374237,0.0003000000142492354
0.05631568282842636,0.1370057463645935,0.23127973079681396,0.3040359318256378,0.0003000000142492354
0.05278277397155762,0.1326211392879486,0.21583609282970428,0.2981462776660919,0.0003000000142492354
0.05000988394021988,0.12824243307113647,0.21333396434783936,0.2938140332698822,0.0003000000142492354
0.04823128506541252,0.12530232965946198,0.20507772266864777,0.2857060134410858,0.0003000000142492354
0.044869136065244675,0.12197871506214142,0.2038477659225464,0.2850817143917084,0.0003000000142492354
0.044803861528635025,0.1193694993853569,0.20294108986854553,0.2793113887310028,0.0003000000142492354
0.04324798658490181,0.11764943599700928,0.19351573288440704,0.27603617310523987,0.0003000000142492354
0.0419684462249279,0.1157994344830513,0.19587743282318115,0.2789311110973358,0.0003000000142492354
0.03930965065956116,0.11312223970890045,0.19046607613563538,0.27175721526145935,0.0003000000142492354
0.03964844346046448,0.11152950674295425,0.19038604199886322,0.2731291353702545,0.0003000000142492354
0.038035620003938675,0.10981891304254532,0.18827104568481445,0.27196675539016724,0.0003000000142492354
0.0364534929394722,0.10799606889486313,0.18523667752742767,0.26928478479385376,0.0003000000142492354
0.035694800317287445,0.106473907828331,0.17978522181510925,0.2621946930885315,0.0003000000142492354
0.0360708013176918,0.1054547056555748,0.1881253868341446,0.2687569260597229,0.0003000000142492354
0.034311145544052124,0.10416479408740997,0.18307581543922424,0.26371803879737854,0.0003000000142492354
0.034011419862508774,0.10294947028160095,0.17846599221229553,0.26258525252342224,0.0003000000142492354
0.032374307513237,0.10114888101816177,0.17655709385871887,0.25934723019599915,0.0003000000142492354
0.032909639179706573,0.10058949887752533,0.17674489319324493,0.2605566680431366,0.0003000000142492354
0.03127721697092056,0.09886141121387482,0.17623946070671082,0.2595099210739136,0.0003000000142492354
0.030416006222367287,0.09782770276069641,0.18185193836688995,0.2601979374885559,0.0003000000142492354
0.03261655196547508,0.09856455028057098,0.17505823075771332,0.25501686334609985,0.0003000000142492354
0.03072466515004635,0.0967361107468605,0.17599298059940338,0.25367459654808044,0.0003000000142492354
0.029662754386663437,0.09578360617160797,0.17545704543590546,0.2537619173526764,0.0003000000142492354
0.0308355875313282,0.09534696489572525,0.18048237264156342,0.25902146100997925,0.0003000000142492354
0.029014969244599342,0.09418262541294098,0.1805296689271927,0.25560125708580017,0.0003000000142492354
0.02686050720512867,0.09048248827457428,0.1729559749364853,0.25182464718818665,0.0001500000071246177
0.02627495303750038,0.08972401171922684,0.17431162297725677,0.25008857250213623,0.0001500000071246177
0.026093127205967903,0.08945031464099884,0.1734985113143921,0.2513049244880676,0.0001500000071246177
0.025961006060242653,0.08909282088279724,0.1739133894443512,0.25234106183052063,0.0001500000071246177
0.025587067008018494,0.08854634314775467,0.17659039795398712,0.25213250517845154,0.0001500000071246177
0.02477695234119892,0.08680935949087143,0.1740783005952835,0.2501012682914734,7.500000356230885e-05
0.024590367451310158,0.08653602749109268,0.1748804748058319,0.250918447971344,7.500000356230885e-05
0.024462226778268814,0.08637196570634842,0.17350372672080994,0.2502795159816742,7.500000356230885e-05
0.024290982633829117,0.08610706776380539,0.17716090381145477,0.2526818513870239,7.500000356230885e-05
